[2025-04-13 09:38:54.990] [PSS] [error] [18992|29732]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x223cad6e7d0
[2025-04-13 09:38:54.990] [PSS] [error] [18992|29732]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x222cba4a710
[2025-04-13 09:38:54.990] [PSS] [error] [18992|24320]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x223a86e6d20
[2025-04-13 09:39:16.613] [PSS] [debug] [18992|20548]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x223a0ad0bc0, this= 0x223a86e4910
[2025-04-13 09:39:16.613] [PSS] [error] [18992|20548]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x223a86e4910
[2025-04-13 09:39:16.613] [PSS] [info] [18992|20548]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= WoEmyMSdzpgVZ5iU, this= 0x223a86e4910
[2025-04-13 09:39:16.613] [PSS] [info] [18992|20548]streaming_client_impl.cpp:25 ConnectToService: client_id= WoEmyMSdzpgVZ5iU, name= 3D Engine, desp= StreamingSceneRender, this= 0x223ca81be20
[2025-04-13 09:39:16.613] [PSS] [debug] [18992|9580]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x223ca81be20
[2025-04-13 09:39:16.614] [PSS] [debug] [18992|9580]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x222cba49f30
[2025-04-13 09:39:16.614] [PSS] [info] [18992|9580]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x222cba49f30
[2025-04-13 09:39:18.646] [PSS] [info] [18992|22124]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x223ca81be20
[2025-04-13 09:39:18.646] [PSS] [error] [18992|22124]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x223ca81be20
[2025-04-13 09:39:18.646] [PSS] [error] [18992|9580]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x223a86e4910
[2025-04-13 09:39:18.646] [PSS] [error] [18992|22124]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x222cba49f30
[2025-04-13 09:40:28.847] [PSS] [debug] [18992|20548]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x222a4e03ed0, this= 0x223a86e6d20
[2025-04-13 09:40:28.847] [PSS] [error] [18992|20548]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x223a86e6d20
[2025-04-13 09:40:28.847] [PSS] [info] [18992|20548]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= BvGs1P9CifPeK6EX, this= 0x223a86e6d20
[2025-04-13 09:40:28.847] [PSS] [info] [18992|20548]streaming_client_impl.cpp:25 ConnectToService: client_id= BvGs1P9CifPeK6EX, name= 3D Engine, desp= StreamingSceneRender, this= 0x223a6360040
[2025-04-13 09:40:28.847] [PSS] [debug] [18992|5456]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x223a6360040
[2025-04-13 09:40:28.847] [PSS] [debug] [18992|5456]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x222cba49c90
[2025-04-13 09:40:28.847] [PSS] [info] [18992|5456]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x222cba49c90
[2025-04-13 09:40:30.886] [PSS] [info] [18992|24744]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x223a6360040
[2025-04-13 09:40:30.886] [PSS] [error] [18992|24744]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x223a6360040
[2025-04-13 09:40:30.886] [PSS] [error] [18992|5456]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x223a86e6d20
[2025-04-13 09:40:30.886] [PSS] [error] [18992|24744]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x222cba49c90
[2025-04-13 09:43:12.726] [PSS] [debug] [18992|20548]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x222a809f0c0, this= 0x223a86e00f0
[2025-04-13 09:43:12.727] [PSS] [error] [18992|20548]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x223a86e00f0
[2025-04-13 09:43:12.727] [PSS] [info] [18992|20548]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= WRx1KgxjpxcJ6V3M, this= 0x223a86e00f0
[2025-04-13 09:43:12.727] [PSS] [info] [18992|20548]streaming_client_impl.cpp:25 ConnectToService: client_id= WRx1KgxjpxcJ6V3M, name= 3D Engine, desp= StreamingSceneRender, this= 0x2239fdfd800
[2025-04-13 09:43:12.727] [PSS] [debug] [18992|5336]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x2239fdfd800
[2025-04-13 09:43:12.727] [PSS] [debug] [18992|5336]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x222cba49f30
[2025-04-13 09:43:12.727] [PSS] [info] [18992|5336]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x222cba49f30
[2025-04-13 09:43:14.774] [PSS] [info] [18992|16656]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x2239fdfd800
[2025-04-13 09:43:14.774] [PSS] [error] [18992|16656]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x2239fdfd800
[2025-04-13 09:43:14.774] [PSS] [error] [18992|5336]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x223a86e00f0
[2025-04-13 09:43:14.774] [PSS] [error] [18992|16656]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x222cba49f30
[2025-04-13 09:43:38.311] [PSS] [debug] [18992|20548]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x2231a7372a0, this= 0x223a86e2500
[2025-04-13 09:43:38.311] [PSS] [error] [18992|20548]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x223a86e2500
[2025-04-13 09:43:38.311] [PSS] [info] [18992|20548]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= xMoej4SY7naY9gxj, this= 0x223a86e2500
[2025-04-13 09:43:38.311] [PSS] [info] [18992|20548]streaming_client_impl.cpp:25 ConnectToService: client_id= xMoej4SY7naY9gxj, name= 3D Engine, desp= StreamingSceneRender, this= 0x223ca81d690
[2025-04-13 09:43:38.311] [PSS] [debug] [18992|27944]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x223ca81d690
[2025-04-13 09:43:38.311] [PSS] [debug] [18992|27944]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x222cba49c90
[2025-04-13 09:43:38.311] [PSS] [info] [18992|27944]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x222cba49c90
[2025-04-13 09:43:40.351] [PSS] [info] [18992|27596]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x223ca81d690
[2025-04-13 09:43:40.352] [PSS] [error] [18992|27596]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x223ca81d690
